rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
9.37037037037037,56.55511296296295,3,256,1,80,,,,,,,,,,
9.660377358490566,73.83965149056603,3,512,2,162,-0.0019136667,0.008166603,0.0328125,-2.7689580619335175,0.2,4735.076281738281,0.0003,10,2063.741943359375,-0.024718761234544216
10.2,77.89018988,3,768,3,247,0.013484597,0.010702439,0.04453125,-2.751188540458679,0.2,4110.214978027344,0.0003,20,1624.93212890625,-0.023284533992409706
10.463917525773196,87.11299010309278,3,1024,4,332,0.010149717,0.006855671,0.012109375,-2.7242172956466675,0.2,6733.411596679687,0.0003,30,3454.6611328125,-0.01638039047829807
11.0,100.42332604000003,3,1280,5,417,0.03290105,0.009913008,0.048828125,-2.6917842745780947,0.2,3929.053576660156,0.0003,40,1858.40771484375,-0.020199468941427767
11.44,109.47985389999998,3,1536,6,502,0.04481995,0.011813275,0.06015625,-2.6315746366977693,0.2,3527.79860534668,0.0003,50,2023.48681640625,-0.022435974143445492
12.05,117.34858389000003,3,1792,7,585,0.052607358,0.009146579,0.033203125,-2.581371945142746,0.2,2880.3808624267576,0.0003,60,1978.0302734375,-0.016773381852544844
12.21,118.27749117999998,3,2048,8,670,0.024565876,0.0038158784,0.008984375,-2.547748589515686,0.2,4227.836431884765,0.0003,70,2860.67919921875,-0.009801551373675466
12.31,116.82961499000001,3,2304,9,754,0.029130936,0.006259543,0.0140625,-2.5175301492214204,0.2,6123.013885498047,0.0003,80,3121.787353515625,-0.01608089287765324
12.76,120.39858720000002,3,2560,10,837,0.086257696,0.0030090024,0.0,-2.4919384598731993,0.2,3716.8643432617187,0.0003,90,2757.720947265625,-0.007645384455099702
13.16,122.16937994000001,3,2816,11,921,0.08156818,0.011413448,0.04765625,-2.4482771933078764,0.2,3339.046517944336,0.0003,100,837.7955322265625,-0.017860184819437564
13.44,128.02137408000002,3,3072,12,1005,0.10463953,0.007226411,0.008203125,-2.372354769706726,0.2,3691.4650695800783,0.0003,110,2588.680908203125,-0.010049529117532074
13.37,136.85109525999997,3,3328,13,1085,0.14852184,0.0072628716,0.0203125,-2.3491482853889467,0.2,2855.32568359375,0.0003,120,927.5353393554688,-0.00782240303233266
13.57,142.2020552,3,3584,14,1160,0.13956994,0.018773872,0.1296875,-2.3848018407821656,0.2,2811.3520263671876,0.0003,130,1984.7987060546875,-0.02696441696025431
